ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,tanimp,relimp,resimp,asrimp,empimp,oq,rec,use,prob,resolve,sex,mstat,age,inc,ed,reliavrg,empavrg,tangavrg,respavrg,assuravg
59,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,25,25,0,NA,NA,NA,NA,NA,Male,Divorced,65+,$30K-$49.9K,Some College,3.8,5.4,2.5,NA,NA
60,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Male,Divorced,65+,< $10K,High School or Less,7,7,7,7,7
61,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,5,25,25,25,20,1,No,5 or more years,Yes,No,Female,Married,25-44,$20K - $29.9 K,Some College,3.2,3.6,6,3.75,4
62,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,25,25,15,25,10,Yes,5 or more years,No,NA,Female,Widowed,45-64,< $10K,High School or Less,7,7,7,7,7
63,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$10K-$19.9 K,High School or Less,7,7,7,7,7
64,Agree Slightly,Agree,Strongly Agree,Agree Slightly,Agree,Agree,Agree Slightly,NA,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,10,30,20,20,20,7,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.8,5.25,6,4.75,5
65,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Strongly Agree,NA,NA,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,0,50,20,30,0,8,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,4.6,5.8,5.5,5.75,6
66,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,50,3,25,20,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,7,7,5.5,7,7
67,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,10,20,30,10,Yes,5 or more years,No,NA,Male,Married,25-44,$10K-$19.9 K,Some College,7,6.4,6,6.75,7
68,Agree Slightly,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Strongly Agree,10,25,25,20,20,8,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,Some College,6,6.2,6,6.75,6.25
69,Disagree,Disagree Slightly,Disagree Slightly,Disagree,Disagree Slightly,Disagree,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,5,30,25,25,15,3,No,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,High School or Less,2.6,3.2,4.75,2,2.5
70,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree,10,25,25,25,15,7,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,5.4,5.2,5.5,5.25,5.75
71,Agree Slightly,Agree,Disagree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,0,30,30,30,10,9,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,College Graduate,4.8,5.8,5,6.5,6.25
72,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5,50,20,15,10,2,No,2 to 5 years,Yes,No,Male,Married,25-44,$30K-$49.9K,Graduate School,3.6,4.2,5,3,2.75
73,Agree,Agree,Agree Slightly,Strongly Agree,NA,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree Slightly,Agree,20,20,20,20,20,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6,5.2,6.5,5.75,5.75
74,Agree,Agree Slightly,Agree,NA,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,20,20,20,5,NA,5 or more years,Yes,No,Female,Married,25-44,NA,High School or Less,5.25,4.5,NA,NA,NA
75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,NA,NA,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,10,25,25,25,15,10,Yes,5 or more years,No,NA,Female,Married,25-44,>$65K,High School or Less,7,6.4,6,6.75,6.5
76,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,25,20,25,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,6.4,7,6.75,6.75,7
77,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,Strongly Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,NA,NA,NA,NA,NA,Female,Divorced,65+,$10K-$19.9 K,NA,1,1,NA,NA,NA
78,Neither Agree Nor Disagree,Strongly Agree,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Agree,5,10,15,20,50,6,Yes,5 or more years,Yes,NA,Female,Married,25-44,$10K-$19.9 K,College Graduate,4.4,4,4.75,4.25,5.5
79,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,7,7,7,7,7
80,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,10,25,20,25,20,7,Yes,1 to 2 years,No,NA,Male,Married,25-44,$20K - $29.9 K,NA,5.6,5,4.5,5,5
81,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,20,20,20,9,Yes,5 or more years,No,NA,Female,Single,< 25,$50K-$64.9,Graduate School,6.2,7,6,6.5,7
82,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,NA,NA,Strongly Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,NA,Agree,Agree Slightly,15,40,20,15,10,7,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,5.4,5.6,6.5,5.25,5.666666667
83,Strongly Agree,Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree Slightly,20,20,20,20,20,7,Yes,Less than 1 year,No,NA,Male,Married,25-44,$50K-$64.9,High School or Less,6,6.6,6,6.75,6
84,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,20,20,NA,NA,NA,NA,NA,Female,Widowed,45-64,$10K-$19.9 K,Some College,5.4,5.6,4,NA,NA
85,Neither Agree Nor Disagree,Agree,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Agree Slightly,Agree Slightly,Agree,Disagree Slightly,Disagree Slightly,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree Slightly,Strongly Disagree,Agree,Neither Agree Nor Disagree,10,30,20,20,20,2,No,5 or more years,Yes,Yes,Male,Married,25-44,>$65K,Graduate School,4,4.4,5,5.25,3.5
86,NA,Agree,NA,Agree,NA,Strongly Agree,Strongly Agree,NA,NA,NA,Agree,NA,Strongly Agree,Agree,Agree,Agree,Agree,NA,Agree Slightly,NA,Strongly Agree,NA,5,50,20,10,15,NA,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,College Graduate,6,7,6.333333333,6,6
87,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Agree,Disagree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,10,30,20,15,25,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,6.6,5.8,6,6.5,6
88,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,6.4,7,6.25,7,7
89,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,40,25,15,15,10,Yes,2 to 5 years,NA,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,7,7,7,7,7
90,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,40,20,10,10,Yes,5 or more years,No,NA,Male,Married,25-44,$10K-$19.9 K,High School or Less,7,7,6,7,7
91,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,NA,NA,NA,NA,NA,9,Yes,2 to 5 years,No,NA,Male,Married,25-44,$20K - $29.9 K,Some College,7,6.2,7,7,6.5
92,Agree Slightly,Strongly Agree,Disagree Slightly,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,10,20,20,25,25,8,Yes,2 to 5 years,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,5.2,7,6.5,7,6.75
93,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,30,20,20,20,10,10,Yes,5 or more years,No,NA,Male,Married,25-44,$10K-$19.9 K,Some College,7,7,7,7,7
94,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10,30,30,10,20,9,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Graduate School,5.8,5.8,5.75,6,6
95,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,5,10,20,25,40,1,No,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,Graduate School,4.6,2.2,5.5,3.5,2.5
96,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,0,25,25,25,25,10,Yes,Less than 1 year,No,NA,Female,Married,25-44,$50K-$64.9,Some College,6,5.4,4.75,5.75,6
97,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,40,15,20,15,10,Yes,Less than 1 year,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,7,7,5.25,7,7
98,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$20K - $29.9 K,High School or Less,7,6.8,6,6.75,7
99,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,2 to 5 years,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,7,7,7,7,7
100,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,20,20,20,20,20,6,Yes,5 or more years,Yes,No,Male,Married,25-44,$50K-$64.9,High School or Less,5.2,5.8,6.5,3.5,5
101,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,Strongly Agree,Agree,Disagree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,9,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.2,5.6,5.5,6,6
102,Agree Slightly,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,NA,Strongly Agree,Strongly Agree,5,20,25,40,10,7,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,5.6,5.8,5.25,5.25,6
103,Agree Slightly,Strongly Agree,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,25,20,20,25,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,>$65K,High School or Less,5.6,6.8,6,6,7
104,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,15,25,25,15,20,8,Yes,5 or more years,NA,Yes,Female,Married,25-44,$20K - $29.9 K,High School or Less,4.2,6.2,5,5.5,6
105,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Disagree,Disagree Slightly,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,10,40,20,20,10,5,Yes,2 to 5 years,No,NA,Female,Married,25-44,$20K - $29.9 K,College Graduate,4.2,5.2,3.75,2.75,3.5
106,Agree Slightly,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,Disagree Slightly,Agree,NA,NA,Agree Slightly,NA,NA,NA,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,NA,NA,NA,NA,NA,7,No,Less than 1 year,No,NA,Female,Married,25-44,$50K-$64.9,Graduate School,5.6,5.2,5,5.5,5.5
107,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,7,7,7,7,7
108,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Disagree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,Agree,Agree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,NA,NA,1,No,5 or more years,Yes,No,Male,Married,25-44,>$65K,Graduate School,1.8,1.4,5.5,1,1
109,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,25,20,25,20,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,7,7,6,7,7
110,Disagree Slightly,Agree,Strongly Agree,Disagree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,10,25,25,15,25,8,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,5.2,6.8,4.75,6.25,6.5
111,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Agree,Agree Slightly,Disagree,Disagree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,10,25,30,20,15,7,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$20K - $29.9 K,College Graduate,4.6,4,5.25,3.25,4.5
112,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,20,20,20,20,20,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,High School or Less,4.6,4,5.25,4.5,4.75
113,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,10,20,20,20,30,9,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,6,5.6,5.5,5.25,5.75
114,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Strongly Agree,20,20,20,20,20,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,>$65K,Graduate School,6.2,4.8,5.333333333,6,6.333333333
115,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,10,10,40,15,25,9,Yes,Less than 1 year,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.8,6.6,5.75,7,6.75
116,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Disagree Slightly,Neither Agree Nor Disagree,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10,30,50,5,5,8,Yes,5 or more years,NA,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.4,4.6,6,6,6
117,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Strongly Disagree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Disagree,Agree Slightly,Disagree Slightly,10,20,20,30,20,3,No,5 or more years,Yes,No,Male,Married,25-44,>$65K,College Graduate,2.2,3.8,5.5,5,3.5
